acc,f1_macro,f1_weighted,precision_macro,recall_macro,pr_auc,roc_auc,fpr,confusion,per_class_recall,model,train_s,test_s,n_train,n_test,size_mb,thr_kmsg_s,task,held_out
0.9828203329726731,0.4956678709760932,0.9789338729691869,0.4937155246769953,0.4976357192738734,0.006927871988990461,0.10353636229057875,0.004728561452253181,"[[1332554, 6331], [16962, 0]]","{'Normal': np.float64(0.9952714385477468), 'Attack': np.float64(0.0)}",LR,14.7,0.83,500000,1355847,0.0,1352.3,r3_lofo,AVTP
0.9874159842519105,0.4968340760445211,0.9812371040462068,0.4937444080643365,0.49996265549319024,0.012508786238960517,0.07572004864533065,7.468901361954163e-05,"[[1338785, 100], [16962, 0]]","{'Normal': np.float64(0.9999253109863805), 'Attack': np.float64(0.0)}",RF,70.6,8.1,500000,1355847,101.69,91.6,r3_lofo,AVTP
0.9871607932163438,0.4967694595154338,0.9811094877273343,0.49374281116806024,0.49983344349962844,0.006485336403843992,0.040698151336433765,0.0003331130007431557,"[[1338439, 446], [16962, 0]]","{'Normal': np.float64(0.9996668869992569), 'Attack': np.float64(0.0)}",XGB,26.4,2.31,500000,1355847,2.44,687.3,r3_lofo,AVTP
0.9872751128999069,0.49679840827837757,0.9811666609400552,0.4937435266414667,0.49989132748518356,0.0065274732679940555,0.04449969018436169,0.00021734502963286615,"[[1338594, 291], [16962, 0]]","{'Normal': np.float64(0.9997826549703671), 'Attack': np.float64(0.0)}",LGBM,7.4,3.22,500000,1355847,2.06,491.3,r3_lofo,AVTP
0.9873186281342954,0.49680942660976063,0.9811884219184162,0.4937437989399645,0.49991336074420134,0.006416262450829516,0.027243189467519982,0.0001732785115973366,"[[1338653, 232], [16962, 0]]","{'Normal': np.float64(0.9998267214884027), 'Attack': np.float64(0.0)}",VoteEns,84.0,10.75,500000,1355847,86.48,115.3,r3_lofo,AVTP
0.9745664518194163,0.49355971328360493,0.9747703047906133,0.4936629742401883,0.49345649551679194,0.009412631234356629,0.35234587126250666,0.013087008966416085,"[[1321363, 17522], [16962, 0]]","{'Normal': np.float64(0.9869129910335839), 'Attack': np.float64(0.0)}",MLP,124.0,1.57,500000,1355847,0.29,712.1,r3_lofo,AVTP
0.9684071630261016,0.491975024891362,0.9651973718207094,0.4903497577515785,0.4936111017749844,0.009635532345067557,0.004761750874833548,0.012777796450031183,"[[1321777, 17108], [26013, 0]]","{'Normal': np.float64(0.9872222035499688), 'Attack': np.float64(0.0)}",LR,32.4,0.87,500000,1364898,0.0,1741.4,r3_lofo,gPTP
0.9807370221071464,0.4951374216572271,0.9714016238510664,0.490468768205631,0.49989580882600076,0.019058567013798832,0.07074356647508934,0.00020838234799852115,"[[1338606, 279], [26013, 0]]","{'Normal': np.float64(0.9997916176520015), 'Attack': np.float64(0.0)}",RF,70.3,6.04,500000,1364898,122.52,85.9,r3_lofo,gPTP
0.9806776770132274,0.49512229495717097,0.9713719470374077,0.4904682024245569,0.4998655597754848,0.018179054204366857,0.45933888402713313,0.0002688804490303499,"[[1338525, 360], [26013, 0]]","{'Normal': np.float64(0.9997311195509696), 'Attack': np.float64(0.0)}",XGB,23.9,2.37,500000,1364898,2.33,702.4,r3_lofo,gPTP
0.9806513014159299,0.4951155716884042,0.9713587567716108,0.49046795094474027,0.4998521157530333,0.011616194180497067,0.13411678304255376,0.0002957684939333849,"[[1338489, 396], [26013, 0]]","{'Normal': np.float64(0.9997042315060666), 'Attack': np.float64(0.0)}",LGBM,7.1,3.19,500000,1364898,2.06,508.9,r3_lofo,gPTP
0.9807311608633026,0.49513592770250076,0.9713986928868864,0.49046871232900807,0.499892821265456,0.011548206938278118,0.15520326522531536,0.0002143574690880845,"[[1338598, 287], [26013, 0]]","{'Normal': np.float64(0.999785642530912), 'Attack': np.float64(0.0)}",VoteEns,80.4,11.13,500000,1364898,103.14,114.1,r3_lofo,gPTP
